manufacturer,category,series,model,ratedCurrent,poles,breakingCapacity,tripUnit,settingsJson,datasheetUrl
Schneider,MCB,Acti9 iC60,iC60N 1P 10A D,10,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 16A B,16,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 16A C,16,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 16A D,16,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 20A B,20,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 20A C,20,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 20A D,20,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 25A B,25,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 25A C,25,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 25A D,25,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 32A B,32,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 32A C,32,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 32A D,32,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 40A B,40,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 40A C,40,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 40A D,40,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 50A B,50,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 50A C,50,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 50A D,50,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 63A B,63,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 63A C,63,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 63A D,63,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 1A B,1,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 1A C,1,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 1A D,1,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 2A B,2,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 2A C,2,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 2A D,2,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 3A B,3,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 3A C,3,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 3A D,3,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 4A B,4,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 4A C,4,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 4A D,4,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 6A B,6,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 6A C,6,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 6A D,6,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 10A B,10,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 10A C,10,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 10A D,10,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 16A B,16,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 16A C,16,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 16A D,16,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 20A B,20,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 20A C,20,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 20A D,20,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 25A B,25,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 25A C,25,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 25A D,25,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 32A B,32,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 32A C,32,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 32A D,32,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 40A B,40,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 40A C,40,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 40A D,40,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 50A B,50,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 50A C,50,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 50A D,50,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 63A B,63,2,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 63A C,63,2,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 2P 63A D,63,2,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 1A B,1,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 1A C,1,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 1A D,1,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 2A B,2,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 2A C,2,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 2A D,2,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 3A B,3,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 3A C,3,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 3A D,3,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 4A B,4,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 4A C,4,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 4A D,4,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 6A B,6,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 6A C,6,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 6A D,6,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 10A B,10,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 10A C,10,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 10A D,10,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 16A B,16,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 16A C,16,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 16A D,16,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 20A B,20,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 20A C,20,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 20A D,20,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 25A B,25,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 25A C,25,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 25A D,25,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 32A B,32,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 32A C,32,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 32A D,32,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 40A B,40,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 40A C,40,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 40A D,40,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 50A B,50,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 50A C,50,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 50A D,50,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 63A B,63,3,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 63A C,63,3,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 3P 63A D,63,3,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 1A B,1,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 1A C,1,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 1A D,1,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 2A B,2,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 2A C,2,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 2A D,2,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 3A B,3,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 3A C,3,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 3A D,3,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 4A B,4,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 4A C,4,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 4A D,4,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 6A B,6,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 6A C,6,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 6A D,6,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 10A B,10,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 10A C,10,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 10A D,10,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 16A B,16,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 16A C,16,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 16A D,16,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 20A B,20,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 20A C,20,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 20A D,20,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 25A B,25,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 25A C,25,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 25A D,25,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 32A B,32,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 32A C,32,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 32A D,32,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 40A B,40,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 40A C,40,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 40A D,40,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 50A B,50,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 50A C,50,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 50A D,50,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 63A B,63,4,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 63A C,63,4,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 4P 63A D,63,4,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 10A C,10,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 16A C,16,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 20A C,20,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 25A C,25,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 32A C,32,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 40A C,40,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 50A C,50,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 63A C,63,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 80A C,80,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 100A C,100,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60H,iC60H 3P 125A C,125,3,15,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 10A C,10,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 16A C,16,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 20A C,20,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 25A C,25,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 32A C,32,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 40A C,40,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 50A C,50,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 63A C,63,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 80A C,80,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 100A C,100,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60L,iC60L 3P 125A C,125,3,25,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCCB,ComPacT NSX100,NSX100N TM16D 3P3D,16,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM25D 3P3D,25,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM32D 3P3D,32,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM40D 3P3D,40,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM50D 3P3D,50,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM63D 3P3D,63,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM80D 3P3D,80,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX100,NSX100N TM100D 3P3D,100,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX160,NSX160N TM100D 3P3D,100,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX160,NSX160N TM125D 3P3D,125,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX160,NSX160N TM160D 3P3D,160,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX250,NSX250N TM160D 3P3D,160,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX250,NSX250N TM200D 3P3D,200,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX250,NSX250N TM250D 3P3D,250,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX400,NSX400N TM250D 3P3D,250,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX400,NSX400N TM320D 3P3D,320,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX400,NSX400N TM400D 3P3D,400,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX630,NSX630N TM500D 3P3D,500,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,MCCB,ComPacT NSX630,NSX630N TM630D 3P3D,630,3,50,TM-D,,https://www.se.com/ww/en/product-range/3943-compact-nsx100-250/
Schneider,ACB,MasterPact MTZ1,MTZ1 H1 3P 800,800,3,42,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ1,MTZ1 H1 3P 1000,1000,3,42,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
Schneider,ACB,MasterPact MTZ1,MTZ1 H1 3P 1250,1250,3,42,MicroLogic X,,https://www.se.com/ww/en/product-range/61911-masterpact-mtz/
